Warehouse,Loadingtype,Selected Dimension ,Period_Year,Week,Transfer_Quantity
ES01,Load,Pallet,2026,W53,432
ES01,Load,Loose,2026,W53,"12,470"
ES01,Load,Pallet,2026,W52,705
ES01,Load,Loose,2026,W52,"12,401"
ES01,Load,Pallet,2026,W51,897
ES01,Load,Loose,2026,W51,"20,864"
ES01,Load,Pallet,2026,W50,"1,079"
ES01,Load,Loose,2026,W50,"16,343"
ES01,Load,Pallet,2026,W49,"1,262"
ES01,Load,Loose,2026,W49,"20,806"
ES01,Load,Pallet,2026,W48,"1,094"
ES01,Load,Loose,2026,W48,"23,773"
ES01,Load,Pallet,2026,W47,287
ES01,Load,Loose,2026,W47,"24,831"
ES01,Load,Pallet,2026,W46,174
ES01,Load,Loose,2026,W46,"24,807"
ES01,Load,Pallet,2026,W45,248
ES01,Load,Loose,2026,W45,"24,837"
ES01,Load,Pallet,2026,W44,727
ES01,Load,Loose,2026,W44,"24,105"
ES01,Load,Pallet,2026,W43,924
ES01,Load,Loose,2026,W43,"24,123"
ES01,Load,Pallet,2026,W42,"1,208"
ES01,Load,Loose,2026,W42,"19,106"
ES01,Load,Pallet,2026,W41,23
ES01,Load,Loose,2026,W41,"25,077"
ES01,Load,Pallet,2026,W40,744
ES01,Load,Loose,2026,W40,"22,376"
ES01,Load,Pallet,2026,W39,166
ES01,Load,Loose,2026,W39,"22,045"
ES01,Load,Pallet,2026,W38,89
ES01,Load,Loose,2026,W38,"22,318"
ES01,Load,Pallet,2026,W37,126
ES01,Load,Loose,2026,W37,"22,108"
ES01,Load,Pallet,2026,W36,"1,760"
ES01,Load,Loose,2026,W36,"19,724"
ES01,Load,Pallet,2026,W35,"1,855"
ES01,Load,Loose,2026,W35,"17,648"
ES01,Load,Pallet,2026,W34,863
ES01,Load,Loose,2026,W34,"18,876"
ES01,Load,Pallet,2026,W33,"1,260"
ES01,Load,Loose,2026,W33,"18,372"
ES01,Load,Pallet,2026,W32,"1,810"
ES01,Load,Loose,2026,W32,"17,894"
ES01,Load,Pallet,2026,W31,729
ES01,Load,Loose,2026,W31,"22,077"
ES01,Load,Pallet,2026,W30,938
ES01,Load,Loose,2026,W30,"21,940"
ES01,Load,Pallet,2026,W29,822
ES01,Load,Loose,2026,W29,"22,277"
ES01,Load,Pallet,2026,W28,359
ES01,Load,Loose,2026,W28,"22,391"
ES01,Load,Loose,2026,W27,"24,026"
ES01,Load,Pallet,2026,W26,872
ES01,Load,Loose,2026,W26,"25,283"
ES01,Load,Pallet,2026,W25,"1,071"
